altitude,temperature,density,pressure
-5000,320.676,1.93113,177762.3822
-4950,320.35,1.9228,176815.6635
-4900,320.025,1.9145,175873.8093
-4850,319.699,1.90622,174934.792
-4800,319.374,1.89798,174001.5363
-4750,319.048,1.88976,173071.1072
-4700,318.723,1.88157,172145.5014
-4650,318.397,1.8734,171222.7139
-4600,318.072,1.86527,170305.643
-4550,317.746,1.85716,169391.3802
-4500,317.421,1.84907,168480.9883
-4450,317.095,1.84102,167575.2183
-4400,316.77,1.83299,166673.2998
-4350,316.444,1.82499,165775.0807
-4300,316.119,1.81701,164880.6953
-4250,315.793,1.80907,163990.9056
-4200,315.468,1.80115,163104.93
-4150,315.143,1.79325,162222.2415
-4100,314.817,1.78538,161343.2255
-4050,314.492,1.77754,160468.901
-4000,314.166,1.76973,159598.2368
-3950,313.841,1.76194,158731.3418
-3900,313.516,1.75418,157868.6002
-3850,313.19,1.74644,157008.6032
-3800,312.865,1.73873,156153.2482
-3750,312.539,1.73105,155301.5263
-3700,312.214,1.72339,154453.5289
-3650,311.889,1.71576,153609.6466
-3600,311.563,1.70816,152769.3807
-3550,311.238,1.70058,151932.8122
-3500,310.913,1.69303,151100.3354
-3450,310.587,1.6855,150270.5666
-3400,310.262,1.678,149445.3607
-3350,309.936,1.67052,148622.854
-3300,309.611,1.66307,147804.8908
-3250,309.286,1.65565,146990.9811
-3200,308.96,1.64825,146179.7565
-3150,308.635,1.64088,145373.0458
-3100,308.31,1.63353,144569.4802
-3050,307.985,1.6262,143769.0541
-3000,307.659,1.61891,142973.0636
-2950,307.334,1.61163,142179.7823
-2900,307.009,1.60439,141391.3844
-2850,306.683,1.59716,140604.7593
-2800,306.358,1.58997,139823.4614
-2750,306.033,1.58279,139044.3835
-2700,305.707,1.57565,138269.7031
-2650,305.382,1.56852,137497.6859
-2600,305.057,1.56143,136730.5018
-2550,304.732,1.55435,135965.5153
-2500,304.406,1.54731,135204.9009
-2450,304.081,1.54028,134446.919
-2400,303.756,1.53328,133692.8647
-2350,303.431,1.52631,132942.7295
-2300,303.105,1.51936,132195.1989
-2250,302.78,1.51243,131451.1413
-2200,302.455,1.50553,130710.9815
-2150,302.13,1.49865,129973.8436
-2100,301.805,1.4918,129240.5884
-2050,301.479,1.48497,128509.9159
-2000,301.154,1.47816,127782.6749
-1950,300.829,1.47138,127059.2952
-1900,300.504,1.46462,126338.9057
-1850,300.179,1.45789,125622.3626
-1800,299.853,1.45118,124908.3801
-1750,299.528,1.44449,124197.7876
-1700,299.203,1.43783,123491.02
-1650,298.878,1.43119,122787.211
-1600,298.553,1.42458,122087.2119
-1550,298.227,1.41799,121389.7512
-1500,297.902,1.41142,120695.6393
-1450,297.577,1.40487,120004.4617
-1400,297.252,1.39835,119317.066
-1350,296.927,1.39186,118633.4438
-1300,296.602,1.38538,117951.884
-1250,296.277,1.37893,117274.0847
-1200,295.951,1.3725,116598.7939
-1150,295.626,1.3661,115927.6446
-1100,295.301,1.35971,115258.537
-1050,294.976,1.35335,114593.1619
-1000,294.651,1.34702,113931.5109
-950,294.326,1.3407,113271.8858
-900,294.001,1.33441,112615.9718
-850,293.676,1.32814,111962.9174
-800,293.351,1.3219,111313.5591
-750,293.026,1.31567,110666.2062
-700,292.701,1.30947,110022.5364
-650,292.375,1.3033,109382.1671
-600,292.05,1.29714,108744.1632
-550,291.725,1.29101,108109.821
-500,291.4,1.2849,107478.2954
-450,291.075,1.27881,106849.5809
-400,290.75,1.27274,106223.672
-350,290.425,1.2667,105601.3966
-300,290.1,1.26067,104981.081
-250,289.775,1.25467,104364.3858
-200,289.45,1.2487,103751.3028
-150,289.125,1.24274,103140.1637
-100,288.8,1.2368,102531.7946
-50,288.475,1.23089,101927.0181
0,288.15,1.225,101324.9985
50,287.825,1.21913,100725.7304
