geometric_altitude,geopotential_altitude,temperature_kelvin,temperature_centigrade,pressure,density,gravity
-5000.0,-5004.0,320.676,47.526,1777.62,1.93113,9.8221
-4950.0,-4954.0,320.35,47.2,1768.15,1.9228,9.8219
-4900.0,-4904.0,320.025,46.875,1758.73,1.9145,9.8218
-4850.0,-4854.0,319.699,46.549,1749.35,1.90622,9.8216
-4800.0,-4804.0,319.374,46.224,1740.01,1.89798,9.8215
-4750.0,-4754.0,319.048,45.898,1730.71,1.88976,9.8213
-4700.0,-4703.0,318.723,45.573,1721.45,1.88157,9.8212
-4650.0,-4653.0,318.397,45.247,1712.23,1.8734,9.821
-4600.0,-4603.0,318.072,44.922,1703.05,1.86527,9.8209
-4550.0,-4553.0,317.746,44.596,1693.91,1.85716,9.8207
-4500.0,-4503.0,317.421,44.271,1684.81,1.84907,9.8205
-4450.0,-4453.0,317.095,43.945,1675.75,1.84102,9.8204
-4400.0,-4403.0,316.77,43.62,1666.73,1.83299,9.8202
-4350.0,-4353.0,316.444,43.294,1657.75,1.82499,9.8201
-4300.0,-4303.0,316.119,42.969,1648.81,1.81701,9.8199
-4250.0,-4253.0,315.793,42.643,1639.91,1.80907,9.8198
-4200.0,-4203.0,315.468,42.318,1631.05,1.80115,9.8196
-4150.0,-4153.0,315.143,41.993,1622.22,1.79325,9.8195
-4100.0,-4103.0,314.817,41.667,1613.44,1.78538,9.8193
-4050.0,-4053.0,314.492,41.342,1604.69,1.77754,9.8192
-4000.0,-4003.0,314.166,41.016,1595.98,1.76973,9.819
-3950.0,-3952.0,313.841,40.691,1587.31,1.76194,9.8188
-3900.0,-3902.0,313.516,40.366,1578.68,1.75418,9.8187
-3850.0,-3852.0,313.19,40.04,1570.09,1.74644,9.8185
-3800.0,-3802.0,312.865,39.715,1561.54,1.73873,9.8184
-3750.0,-3752.0,312.539,39.389,1553.02,1.73105,9.8182
-3700.0,-3702.0,312.214,39.064,1544.54,1.72339,9.8181
-3650.0,-3652.0,311.889,38.739,1536.1,1.71576,9.8179
